,id,name,current_price,market_cap,high_24h,last_updated
68,sushi,Sushi,10.79,2081236820.0,11.09,2021-10-10T20:14:13.756Z
69,thorchain,THORChain,7.83,2056020529.0,8.26,2021-10-10T20:14:41.722Z
70,dash,Dash,190.14,1976003959.0,194.43,2021-10-10T20:14:40.334Z
71,helium,Helium,19.66,1932711392.0,20.1,2021-10-10T20:13:59.089Z
72,compound-governance-token,Compound,315.45,1925000067.0,333.76,2021-10-10T20:14:02.458Z
73,celo,Celo,5.85,1912100639.0,5.98,2021-10-10T20:14:37.100Z
74,omisego,OMG Network,13.37,1873295989.0,14.43,2021-10-10T20:14:30.823Z
75,decred,Decred,138.08,1849119147.0,138.88,2021-10-10T20:14:10.515Z
76,ecomi,ECOMI,0.00822598,1792444819.0,0.00830258,2021-10-10T20:10:44.580Z
77,havven,Synthetix Network Token,10.01,1758611815.0,10.29,2021-10-10T20:14:17.105Z
78,chiliz,Chiliz,0.321118,1718448304.0,0.331387,2021-10-10T20:14:30.223Z
79,holotoken,Holo,0.00953135,1689724000.0,0.00983678,2021-10-10T20:14:09.850Z
80,theta-fuel,Theta Fuel,0.309994,1685214345.0,0.31892,2021-10-10T20:14:34.553Z
81,nem,NEM,0.183364,1647960367.0,0.184183,2021-10-10T20:14:17.278Z
82,enjincoin,Enjin Coin,1.64,1537900133.0,1.72,2021-10-10T20:14:18.616Z
83,xdce-crowd-sale,XDC Network,0.121271,1480476633.0,0.124599,2021-10-10T20:13:56.243Z
84,icon,ICON,2.16,1457168679.0,2.3,2021-10-10T20:14:40.402Z
85,zcash,Zcash,123.5,1445532496.0,128.17,2021-10-10T20:14:14.874Z
86,qtum,Qtum,13.5,1400860412.0,14.82,2021-10-10T20:14:24.373Z
87,bitclout,Decentralized Social,130.11,1370206947.0,130.2,2021-10-10T20:13:57.556Z
88,dydx,dYdX,23.97,1363044358.0,24.81,2021-10-10T20:14:30.330Z
89,true-usd,TrueUSD,1.0,1311232015.0,1.01,2021-10-10T20:14:48.419Z
90,magic-internet-money,Magic Internet Money,1.01,1296462520.0,1.02,2021-10-10T20:10:57.080Z
91,iostoken,IOST,0.05621,1293159598.0,0.059774,2021-10-10T20:14:49.018Z
92,flow,Flow,19.23,1287641901.0,20.26,2021-10-10T20:14:28.285Z
93,huobi-token,Huobi Token,7.76,1270161748.0,7.94,2021-10-10T20:14:48.878Z
94,zilliqa,Zilliqa,0.099552,1254193468.0,0.103705,2021-10-10T20:14:12.550Z
95,yearn-finance,yearn.finance,34057.0,1216423093.0,34923.0,2021-10-10T20:14:30.022Z
96,bitcoin-gold,Bitcoin Gold,67.81,1180025442.0,71.72,2021-10-10T20:14:39.102Z
97,spell-token,Spell Token,0.01893006,1134917200.0,0.0240669,2021-10-10T20:14:18.612Z
98,mina-protocol,Mina Protocol,4.35,1134415901.0,4.5,2021-10-10T20:14:15.785Z
99,ravencoin,Ravencoin,0.113089,1110873563.0,0.118853,2021-10-10T20:14:37.213Z
100,basic-attention-token,Basic Attention Token,0.734672,1093688754.0,0.759047,2021-10-10T20:14:23.652Z
101,curve-dao-token,Curve DAO Token,2.78,1085865226.0,2.92,2021-10-10T20:14:51.703Z
102,decentraland,Decentraland,0.795887,1057115923.0,0.838863,2021-10-10T20:14:52.168Z
103,republic-protocol,REN,1.05,1049879396.0,1.08,2021-10-10T20:14:47.716Z
104,serum,Serum,7.72,1029527324.0,8.1,2021-10-10T20:14:51.624Z
105,mdex,Mdex,1.57,1020853167.0,1.62,2021-10-10T20:14:14.239Z
106,telcoin,Telcoin,0.01759262,1010483393.0,0.01828868,2021-10-10T20:11:08.988Z
107,nexo,NEXO,1.77,992182884.0,1.8,2021-10-10T20:14:13.870Z
108,siacoin,Siacoin,0.02008787,984793622.0,0.0208775,2021-10-10T20:14:19.966Z
109,safemoon,SafeMoon,1.7e-06,974242794.0,1.74e-06,2021-10-10T20:14:23.011Z
110,renbtc,renBTC,55480.0,965654734.0,55688.0,2021-10-10T20:12:50.995Z
111,osmosis,Osmosis,4.85,933628111.0,5.04,2021-10-10T20:14:04.693Z
112,nxm,Nexus Mutual,134.78,930298751.0,137.4,2021-10-10T20:03:09.480Z
113,paxos-standard,Pax Dollar,1.0,920394166.0,1.01,2021-10-10T20:14:47.352Z
114,kucoin-shares,KuCoin Token,11.73,906871003.0,12.0,2021-10-10T20:14:16.179Z
115,0x,0x,1.07,906758323.0,1.13,2021-10-10T20:14:05.330Z
116,bancor,Bancor Network Token,3.98,903078824.0,4.03,2021-10-10T20:14:27.244Z
117,zencash,Horizen,76.9,893840987.0,81.56,2021-10-10T20:14:18.530Z
118,celer-network,Celer Network,0.156993,892471360.0,0.175641,2021-10-10T20:14:44.506Z
119,ontology,Ontology,0.992127,867534974.0,1.02,2021-10-10T20:14:05.254Z
120,xsushi,xSUSHI,12.81,845337442.0,13.17,2021-10-10T20:09:25.263Z
121,audius,Audius,2.04,841784845.0,2.12,2021-10-10T20:14:45.959Z
122,secret,Secret,5.33,793511653.0,5.32,2021-10-10T20:14:52.238Z
123,perpetual-protocol,Perpetual Protocol,14.08,776276765.0,14.35,2021-10-10T20:14:45.818Z
124,compound-usdt,cUSDT,0.02143584,752529168.0,0.02154394,2021-10-10T20:14:01.552Z
125,digibyte,DigiByte,0.050511,742825221.0,0.053,2021-10-10T20:14:38.985Z
126,nano,Nano,5.47,729026451.0,5.66,2021-10-10T20:14:08.723Z
127,link,LINK,121.84,728067311.0,124.25,2021-10-10T19:46:40.337Z
128,wonderland,Wonderland,7226.43,719236392.0,7633.79,2021-10-10T20:09:16.611Z
129,ankr,Ankr,0.093652,716358125.0,0.09484,2021-10-10T20:14:16.612Z
130,polymath,Polymath,0.812193,711146868.0,0.86181,2021-10-10T20:14:37.402Z
131,raydium,Raydium,9.95,709766982.0,10.31,2021-10-10T20:14:24.743Z
132,gala,Gala,0.093728,705014408.0,0.09968,2021-10-10T20:14:21.207Z
133,iotex,IoTeX,0.074126,704049260.0,0.077037,2021-10-10T20:14:32.693Z
134,the-sandbox,The Sandbox,0.773838,690246509.0,0.808402,2021-10-10T20:14:22.390Z
135,uma,UMA,10.49,659554116.0,11.81,2021-10-10T20:14:29.336Z
136,skale,SKALE,0.311497,657303753.0,0.324242,2021-10-10T20:14:24.880Z
137,gatechain-token,GateToken,4.05,649727413.0,4.12,2021-10-10T20:14:02.886Z
138,coin98,Coin98,3.41,631108697.0,3.57,2021-10-10T20:14:02.871Z
139,swissborg,SwissBorg,0.661327,629655298.0,0.673552,2021-10-10T20:14:07.048Z
140,liquity-usd,Liquity USD,1.0,628696084.0,1.02,2021-10-10T20:11:19.142Z
141,yield-guild-games,Yield Guild Games,6.81,598193123.0,6.95,2021-10-10T20:14:12.162Z
142,metahero,Metahero,0.127252,597666874.0,0.126911,2021-10-10T20:13:44.008Z
143,wazirx,WazirX,1.29,580796551.0,1.3,2021-10-10T20:14:36.489Z
144,kava,Kava,6.34,580348961.0,6.76,2021-10-10T20:14:49.706Z
145,moonriver,Moonriver,293.37,573453174.0,303.71,2021-10-10T20:14:16.955Z
146,golem,Golem,0.560312,560166855.0,0.58909,2021-10-10T20:14:43.096Z
147,rocket-pool,Rocket Pool,34.32,558260856.0,35.69,2021-10-10T20:12:08.591Z
148,1inch,1inch,3.07,554244686.0,3.21,2021-10-10T20:14:40.957Z
149,fetch-ai,Fetch.ai,0.801337,550656804.0,0.860519,2021-10-10T20:14:30.125Z
150,neutrino,Neutrino USD,0.984359,538938352.0,0.994436,2021-10-10T20:14:21.195Z
151,dent,Dent,0.00563979,537512165.0,0.00582003,2021-10-10T20:14:41.402Z
152,woo-network,WOO Network,1.02,533890582.0,1.11,2021-10-10T20:14:36.296Z
153,beta-finance,Beta Finance,3.32,531515839.0,3.73,2021-10-10T20:08:50.718Z
154,fei-protocol,Fei Protocol,1.0,528080397.0,1.01,2021-10-10T20:14:08.437Z
155,wax,WAX,0.284124,499264888.0,0.287158,2021-10-10T20:14:43.222Z
156,swipe,Swipe,2.63,495823544.0,2.66,2021-10-10T20:14:22.159Z
157,loopring,Loopring,0.397798,495631386.0,0.413959,2021-10-10T20:14:06.531Z
158,reserve-rights-token,Reserve Rights Token,0.03750999,493791897.0,0.03931336,2021-10-10T20:14:38.653Z
159,lisk,Lisk,3.35,488436177.0,3.48,2021-10-10T20:14:44.759Z
160,titanswap,TitanSwap,4.82,482498167.0,4.93,2021-10-10T20:08:22.595Z
161,vectorspace,Vectorspace AI,12.6,474147139.0,12.86,2021-10-10T20:11:00.270Z
162,digitalbits,DigitalBits,0.603996,467001817.0,0.652299,2021-10-10T20:09:06.068Z
163,coti,COTI,0.530974,463347380.0,0.554912,2021-10-10T20:14:36.934Z
164,ergo,Ergo,10.25,450308637.0,10.96,2021-10-10T20:14:39.165Z
165,pundi-x-2,Pundi X,1.75,449557416.0,1.83,2021-10-10T20:14:36.821Z
166,gnosis,Gnosis,298.97,447606641.0,308.88,2021-10-10T20:14:33.892Z
167,fx-coin,Function X,1.07,447181722.0,1.16,2021-10-10T20:14:34.138Z
168,oxygen,Oxygen,2.2,444575428.0,2.24,2021-10-10T20:14:03.031Z
169,constellation-labs,Constellation,0.187615,438259351.0,0.203899,2021-10-10T20:09:46.854Z
170,energy-web-token,Energy Web Token,10.96,437100960.0,11.15,2021-10-10T20:14:38.929Z
171,radio-caca,Radio Caca,0.00240642,436753266.0,0.00271085,2021-10-10T20:14:08.505Z
172,livepeer,Livepeer,17.95,434295137.0,18.46,2021-10-10T20:14:40.080Z
173,bitcoin-diamond,Bitcoin Diamond,2.32,434242693.0,2.42,2021-10-10T20:14:39.710Z
174,nervos-network,Nervos Network,0.01545232,432872507.0,0.01566356,2021-10-10T20:14:07.127Z
175,wink,WINkLink,0.00056046,428495683.0,0.00057411,2021-10-10T20:14:21.408Z
176,illuvium,Illuvium,676.33,427225383.0,708.78,2021-10-10T20:14:33.798Z
177,xyo-network,XYO Network,0.03529234,421270571.0,0.04178446,2021-10-10T20:14:39.002Z
178,convex-finance,Convex Finance,14.19,418588844.0,14.62,2021-10-10T20:12:24.468Z
179,medibloc,Medibloc,0.07704,414648411.0,0.080394,2021-10-10T20:14:42.984Z
180,verge,Verge,0.02479012,407526964.0,0.02663071,2021-10-10T20:14:36.075Z
181,pirate-chain,Pirate Chain,2.18,407278761.0,2.43,2021-10-10T20:12:14.007Z
182,alpha-finance,Alpha Finance,1.0,405526507.0,1.04,2021-10-10T20:14:40.463Z
183,plex,PLEX,1.93,402034099.0,1.93,2021-10-10T20:13:41.606Z
184,vethor-token,VeThor Token,0.00963389,393892732.0,0.00988192,2021-10-10T20:13:59.199Z
185,frax,Frax,1.01,393733289.0,1.01,2021-10-10T20:13:07.033Z
186,persistence,Persistence,7.54,393585083.0,7.59,2021-10-10T20:14:05.627Z
187,radicle,Radicle,18.59,391051323.0,19.67,2021-10-10T20:14:51.447Z
188,tokamak-network,Tokamak Network,9.89,388502507.0,11.07,2021-10-10T20:14:29.869Z
189,ardor,Ardor,0.378999,385908592.0,0.415,2021-10-10T20:14:44.467Z
190,lukso-token,LUKSO Token,25.56,384201343.0,26.28,2021-10-10T20:13:12.498Z
191,seth,sETH,3535.67,380787824.0,3609.45,2021-10-10T20:02:21.674Z
192,status,Status,0.096815,375297604.0,0.100456,2021-10-10T20:14:45.543Z
193,orbs,Orbs,0.128719,374999955.0,0.131593,2021-10-10T20:14:52.302Z
194,injective-protocol,Injective Protocol,11.44,373453018.0,11.65,2021-10-10T20:14:44.774Z
195,anchor-protocol,Anchor Protocol,3.06,372005338.0,3.12,2021-10-10T20:14:22.810Z
196,ocean-protocol,Ocean Protocol,0.848386,367780633.0,0.90331,2021-10-10T20:14:27.473Z
197,conflux-token,Conflux,0.364959,366999107.0,0.381704,2021-10-10T20:14:27.440Z
198,bakerytoken,BakerySwap,1.88,364285723.0,1.97,2021-10-10T20:14:14.457Z
199,btc-standard-hashrate-token,BTC Standard Hashrate Token,50.09,360984462.0,56.76,2021-10-10T20:13:39.262Z
200,singularitynet,SingularityNET,0.36597,356221063.0,0.3728,2021-10-10T20:10:10.386Z
201,akash-network,Akash Network,3.16,352649889.0,3.33,2021-10-10T20:14:05.555Z
202,asd,AscendEx Token,0.474477,352299881.0,0.49011,2021-10-10T20:14:00.653Z
203,rari-governance-token,Rari Governance Token,31.33,351865690.0,31.83,2021-10-10T20:14:43.684Z
204,pundi-x,Pundi X [OLD],0.00147686,349306167.0,0.00184808,2021-10-10T20:02:18.339Z
205,trust-wallet-token,Trust Wallet Token,1.0,348404264.0,1.04,2021-10-10T20:14:19.256Z
206,verasity,Verasity,0.053358,348183961.0,0.058245,2021-10-10T20:14:12.258Z
207,mask-network,Mask Network,10.44,347450516.0,10.87,2021-10-10T20:13:52.360Z
208,civic,Civic,0.515515,345080752.0,0.54044,2021-10-10T20:14:43.923Z
209,unibright,Unibright,2.26,340816582.0,2.41,2021-10-10T20:13:41.666Z
210,electroneum,Electroneum,0.01902542,339684210.0,0.02038341,2021-10-10T20:13:26.882Z
211,band-protocol,Band Protocol,8.1,337427893.0,8.36,2021-10-10T20:14:11.124Z
212,velas,Velas,0.149096,328370084.0,0.152195,2021-10-10T20:14:26.176Z
213,tribe-2,Tribe,0.722016,327928574.0,0.731826,2021-10-10T20:14:32.858Z
214,convex-crv,Convex CRV,2.77,324381804.0,2.88,2021-10-10T20:00:05.949Z
215,pax-gold,PAX Gold,1763.15,319003567.0,1785.51,2021-10-10T20:14:03.406Z
216,chia,Chia,163.22,318536658.0,168.59,2021-10-10T20:14:30.355Z
217,storm,StormX,0.03433316,318127541.0,0.03614926,2021-10-10T20:14:32.187Z
218,bonfida,Bonfida,6.42,314396776.0,6.57,2021-10-10T20:14:41.403Z
219,kadena,Kadena,2.06,311696103.0,2.06,2021-10-10T20:11:58.748Z
220,venus,Venus,27.6,311088340.0,28.44,2021-10-10T20:14:31.147Z
221,aelf,aelf,0.674886,310796742.0,0.694113,2021-10-10T20:14:27.944Z
222,dodo,DODO,1.39,309853913.0,1.43,2021-10-10T20:14:37.203Z
223,origin-protocol,Origin Protocol,0.865343,308661947.0,0.903861,2021-10-10T20:14:27.516Z
224,oasis-network,Oasis Network,0.205138,306926076.0,0.230685,2021-10-10T20:14:34.937Z
225,prometeus,Prometeus,18.42,302468506.0,18.75,2021-10-10T20:14:04.985Z
226,hive,Hive,0.8367,298908013.0,0.873821,2021-10-10T20:14:26.575Z
227,mirror-protocol,Mirror Protocol,3.08,296609311.0,3.3,2021-10-10T20:14:24.780Z
228,ark,Ark,1.82,295086084.0,1.98,2021-10-10T20:14:38.689Z
229,ice-token,Popsicle Finance,22.09,289000011.0,23.34,2021-10-10T20:14:50.548Z
230,bifrost,Bifrost,0.293079,288105002.0,0.304092,2021-10-10T20:14:32.527Z
231,reef-finance,Reef Finance,0.02083648,287462194.0,0.02150416,2021-10-10T20:14:46.070Z
232,mango-markets,Mango Markets,0.28316,284843735.0,0.289464,2021-10-10T20:14:39.724Z
233,shiden,Shiden Network,4.94,283838423.0,4.98,2021-10-10T20:14:17.730Z
234,casper-network,Casper Network,0.120085,281994429.0,0.126282,2021-10-10T20:14:30.426Z
235,dawn-protocol,Dawn Protocol,3.88,278174182.0,4.0,2021-10-10T20:14:52.046Z
236,dero,Dero,25.71,277489480.0,27.29,2021-10-10T20:12:27.205Z
237,adventure-gold,Adventure Gold,3.61,277474143.0,3.82,2021-10-10T20:14:40.235Z
238,sapphire,Sapphire,0.399979,273234860.0,0.407748,2021-10-10T20:10:54.808Z
239,eden,EDEN,3.21,271552653.0,3.5,2021-10-10T20:14:25.225Z
240,cartesi,Cartesi,0.626403,269782085.0,0.64587,2021-10-10T20:13:59.553Z
241,sbtc,sBTC,55593.0,268004020.0,55597.0,2021-10-10T20:02:14.256Z
242,marketpeak,PEAKDEFI,0.269821,265776432.0,0.285352,2021-10-10T20:05:36.165Z
243,iexec-rlc,iExec RLC,3.72,265506495.0,3.86,2021-10-10T20:14:39.048Z
244,numeraire,Numeraire,45.17,263737217.0,47.01,2021-10-10T20:14:40.541Z
245,maidsafecoin,MaidSafeCoin,0.578894,260432362.0,0.586323,2021-10-10T20:13:23.372Z
246,telos,Telos,1.08,260294376.0,1.12,2021-10-10T20:14:18.345Z
247,husd,HUSD,1.0,256374788.0,1.01,2021-10-10T20:14:41.795Z
248,badger-dao,Badger DAO,26.49,256189680.0,28.47,2021-10-10T20:14:42.090Z
249,alien-worlds,Alien Worlds,0.202899,251056254.0,0.213435,2021-10-10T20:14:19.799Z
250,steem,Steem,0.617764,246799830.0,0.659652,2021-10-10T20:14:08.878Z
251,stratis,Stratis,2.46,246447082.0,2.53,2021-10-10T20:12:02.951Z
252,orion-protocol,Orion Protocol,7.92,245015175.0,8.06,2021-10-10T20:14:16.177Z
253,keep-network,Keep Network,0.436073,239119209.0,0.44163,2021-10-10T20:14:10.102Z
254,alchemix-usd,Alchemix USD,1.0,238984780.0,1.01,2021-10-10T19:27:25.107Z
255,tokemak,Tokemak,47.38,237230152.0,50.15,2021-10-10T20:14:29.731Z
256,ellipsis,Ellipsis,0.566196,234279395.0,0.584133,2021-10-10T20:14:14.695Z
257,metal,Metal,3.62,233229102.0,3.78,2021-10-10T20:13:21.558Z
258,nkn,NKN,0.35646,230447803.0,0.372771,2021-10-10T20:14:20.427Z
259,unizen,Unizen,5.28,230366032.0,5.69,2021-10-10T20:13:13.927Z
260,balancer,Balancer,21.31,230112701.0,22.02,2021-10-10T20:13:56.644Z
261,funfair,FUNToken,0.02168814,229124866.0,0.02242742,2021-10-10T20:13:25.261Z
262,ton-crystal,TON Crystal,0.356511,228418218.0,0.363868,2021-10-10T20:13:49.314Z
263,allianceblock,AllianceBlock,0.759626,225935406.0,0.782513,2021-10-10T20:13:28.615Z
264,quark-chain,QuarkChain,0.03363634,220099065.0,0.03832786,2021-10-10T20:14:25.492Z
265,dopex,Dopex,1567.07,219972810.0,1571.43,2021-10-10T20:10:18.340Z
266,klever,Klever,0.03981201,217112651.0,0.04102609,2021-10-10T20:14:03.409Z
267,lido-dao,Lido DAO,3.89,215060434.0,4.2,2021-10-10T20:14:22.093Z
268,alchemy-pay,Alchemy Pay,0.06367,214972211.0,0.07268,2021-10-10T20:14:05.473Z
269,my-neighbor-alice,My Neighbor Alice,12.36,214845777.0,12.88,2021-10-10T20:14:06.085Z
270,star-atlas,Star Atlas,0.099296,214357687.0,0.104243,2021-10-10T20:13:59.427Z
271,flex-coin,FLEX Coin,2.7,212228407.0,2.75,2021-10-10T20:10:48.937Z
272,storj,Storj,1.48,211962369.0,1.51,2021-10-10T20:13:59.387Z
273,playdapp,PlayDapp,0.874407,210788160.0,0.918246,2021-10-10T20:12:59.128Z
274,origintrail,OriginTrail,0.580331,209884549.0,0.614581,2021-10-10T20:11:54.528Z
275,orchid-protocol,Orchid Protocol,0.347195,204920641.0,0.363846,2021-10-10T20:14:32.421Z
276,aurora-dao,IDEX,0.347974,204726194.0,0.382267,2021-10-10T20:14:24.600Z
277,joe,JOE,2.06,203251985.0,2.29,2021-10-10T20:08:55.083Z
278,beldex,Beldex,0.134607,201153728.0,0.136967,2021-10-10T20:13:39.089Z
279,frax-share,Frax Share,5.64,200769455.0,5.68,2021-10-10T20:14:31.838Z
280,rif-token,RSK Infrastructure Framework,0.254935,199737404.0,0.25956,2021-10-10T20:14:21.867Z
281,truefi,TrueFi,0.452829,199301662.0,0.472632,2021-10-10T20:14:00.300Z
282,defipulse-index,DeFiPulse Index,333.48,199174988.0,342.6,2021-10-10T20:11:39.895Z
283,superrare,SuperRare,1.41,198590065.0,1.46,2021-10-10T20:14:27.259Z
284,superfarm,SuperFarm,0.687833,197171792.0,0.711592,2021-10-10T20:13:26.633Z
285,proton,Proton,0.02426532,195819128.0,0.02754021,2021-10-10T20:14:07.553Z
286,metadium,Metadium,0.120596,195718603.0,0.122704,2021-10-10T20:12:31.867Z
287,anyswap,Anyswap,11.34,195537177.0,12.2,2021-10-10T20:14:17.760Z
288,alchemix,Alchemix,259.89,194686781.0,262.77,2021-10-10T20:14:02.228Z
289,melon,Enzyme,134.48,194453540.0,137.13,2021-10-10T20:14:14.195Z
290,tomochain,TomoChain,2.24,192894034.0,2.3,2021-10-10T20:14:13.329Z
291,chromaway,Chromia,0.333189,188857149.0,0.342693,2021-10-10T20:13:54.970Z
292,star-atlas-dao,Star Atlas DAO,8.69,187382765.0,8.91,2021-10-10T20:14:00.905Z
293,kyber-network-crystal,Kyber Network Crystal,1.81,185443174.0,1.83,2021-10-10T20:11:53.444Z
294,everipedia,Everipedia,0.01846619,184063375.0,0.02042182,2021-10-10T20:14:13.291Z
295,compound-uniswap,cUNI,0.505543,183972761.0,0.524099,2021-10-10T19:54:14.861Z
296,escoin-token,Escoin Token,2.71,183007126.0,2.74,2021-10-10T20:07:32.953Z
297,nusd,sUSD,1.0,182952335.0,1.01,2021-10-10T20:13:17.067Z
298,gemini-dollar,Gemini Dollar,0.996373,182650083.0,0.998409,2021-10-10T20:12:54.896Z
299,strike,Strike,59.01,181210588.0,61.63,2021-10-10T20:13:51.135Z
300,noia-network,Syntropy,0.377686,181050528.0,0.38983,2021-10-10T20:08:11.985Z
301,aragon,Aragon,4.77,180590510.0,5.06,2021-10-10T20:14:26.803Z
302,auction,Bounce,25.25,180570565.0,26.16,2021-10-10T20:14:13.005Z
303,wanchain,Wanchain,0.922214,178200908.0,0.975478,2021-10-10T20:14:05.499Z
